-- 1. List of Managers with all their Workers:

Managers,Workers
NULL,"Andrew Fuller"
"Andrew Fuller","Laura Callahan"
"Andrew Fuller","Nancy Davolio"
"Andrew Fuller","Janet Leverling"
"Andrew Fuller","Margaret Peacock"
"Andrew Fuller","Steven Buchanan"
"Steven Buchanan","Michael Suyama"
"Steven Buchanan","Robert King"
"Steven Buchanan","Anne Dodsworth"

------------------------------------------------------------------------------------------------

-- 2. Lists Managers with number of people working under them

employeeID,Managers,Number_of_Workers
VAFFE,Tourtire,372.5000
LEHMS,"Genen Shouyu",387.5000
LEHMS,"Gumbr Gummibrchen",156.1500
LEHMS,"Sir Rodney's Marmalade",1701.0000
LEHMS,Gudbrandsdalsost,720.0000
LEHMS,Lakkalikri,72.0000
OLDWO,"Filo Mix",168.0000
OLDWO,"Escargots de Bourgogne",397.5000
ERNSH,"Steeleye Stout",540.0000
ERNSH,"Sirop d'rable",3420.0000
ERNSH,Gudbrandsdalsost,2340.0000
WHITC,"Gnocchi di nonna Alice",190.0000
WHITC,Vegie-spread,1053.6000
WHITC,"Rhnbru Klosterbier",232.5000
PICCO,"Guaran Fantstica",157.5000
PICCO,"Ravioli Angelo",390.0000
PICCO,"Louisiana Fiery Hot Pepper Sauce",252.6000
RATTC,"Schoggi Schokolade",2195.0000
RATTC,Flotemysost,193.5000
BSBEV,"Tarte au sucre",493.0000
HUNGC,Tourtire,29.8000
HUNGC,"Rd Kaviar",450.0000
HILAA,Konbu,360.0000
HILAA,"Raclette Courdavault",1925.0000
VAFFE,"Original Frankfurter grne Soe",65.0000
SAVEA,"Gustaf's Knckebrd",1008.0000
SAVEA,Maxilaku,500.0000
FURIB,Chocolade,76.5000
FURIB,Lakkalikri,180.0000
MEREP,Pavlova,523.5000
MEREP,"Raclette Courdavault",1100.0000
MEREP,"Camembert Pierrot",2380.0000
MEREP,Flotemysost,322.5000
TRADH,"Chef Anton's Cajun Seasoning",440.0000
TRADH,"Pt chinois",480.0000
TRADH,"Tarte au sucre",493.0000
SAVEA,"Uncle Bob's Organic Dried Pears",1350.0000
SAVEA,"Alice Mutton",3900.0000
SAVEA,Geitost,35.0000
SAVEA,"Boston Crab Meat",772.8000
SAVEA,"Mozzarella di Giovanni",417.6000
TOMSP,"Gnocchi di nonna Alice",1064.0000
DUMON,Chai,54.0000
DUMON,Ikura,310.0000
DUMON,"Sir Rodney's Scones",60.0000
LAMAI,"Inlagd Sill",399.0000
WOLZA,Chai,108.0000
WOLZA,Chang,190.0000
WOLZA,"Camembert Pierrot",510.0000
SAVEA,Ikura,2170.0000
SAVEA,"Inlagd Sill",1045.0000
SAVEA,Maxilaku,360.0000
SAVEA,"Camembert Pierrot",1360.0000
SAVEA,Lakkalikri,1440.0000
HILAA,Konbu,48.0000
HILAA,"Rhnbru Klosterbier",310.0000
BLAUS,"Queso Cabrales",294.0000
BLAUS,"Sir Rodney's Scones",80.0000
BLAUS,"Chartreuse verte",90.0000
WILMK,"Pt chinois",120.0000
GREAL,"Cte de Blaye",3952.5000
GREAL,"Gnocchi di nonna Alice",532.0000
GREAL,"Outback Lager",225.0000
GREAL,Flotemysost,322.5000
GREAL,"Raclette Courdavault",1650.0000
MEREP,"Grandma's Boysenberry Spread",1750.0000
MEREP,"Gnocchi di nonna Alice",760.0000
MEREP,"Scottish Longbreads",187.5000
MEREP,"Sir Rodney's Scones",420.0000
MEREP,"Gustaf's Knckebrd",840.0000
LAUGB,"Guaran Fantstica",22.5000
LAUGB,"Filo Mix",35.0000
ISLAT,"Teatime Chocolate Biscuits",46.0000
ISLAT,Tunnbrd,90.0000
ISLAT,"Outback Lager",300.0000
ISLAT,Flotemysost,322.5000
RICAR,Chang,380.0000
RICAR,"Scottish Longbreads",225.0000
FRANK,Tofu,488.2500
FRANK,"Teatime Chocolate Biscuits",138.0000
FRANK,"Sir Rodney's Scones",250.0000
FRANK,"Guaran Fantstica",13.5000
FRANK,"Steeleye Stout",540.0000
THECR,"Rssle Sauerkraut",456.0000
THECR,"Thringer Rostbratwurst",742.7400
THECR,"Gula Malacca",194.5000
ANATR,Tofu,69.7500
ANATR,"Singaporean Hokkien Fried Mee",70.0000
ANATR,"Camembert Pierrot",340.0000
BERGS,"Perth Pasties",393.6000
BERGS,"Camembert Pierrot",680.0000
BERGS,Flotemysost,430.0000
SAVEA,"Tarte au sucre",739.5000
SAVEA,"Rd Kaviar",525.0000
BLONP,Chai,450.0000
GODOS,"Thringer Rostbratwurst",2475.8000
GODOS,"Wimmers gute Semmelkndel",299.2500
KOENE,"Pt chinois",288.0000
KOENE,Lakkalikri,630.0000
LAMAI,"Rhnbru Klosterbier",62.0000
WANDK,Chang,570.0000
WANDK,Geitost,50.0000
ERNSH,"Queso Manchego La Pastora",1368.0000
ERNSH,Konbu,78.0000
ERNSH,"Gumbr Gummibrchen",1093.0500
ERNSH,"Tarte au sucre",3944.0000
FOLIG,"Uncle Bob's Organic Dried Pears",1050.0000
FOLIG,"Carnarvon Tigers",3125.0000
FOLIG,"Manjimup Dried Apples",795.0000
FOLIG,"Rhnbru Klosterbier",15.5000
MAGAA,"Chef Anton's Cajun Seasoning",220.0000
MAGAA,"Chef Anton's Gumbo Mix",320.2500
MAGAA,"Gustaf's Knckebrd",840.0000
WARTH,"Chef Anton's Cajun Seasoning",550.0000
WARTH,"Escargots de Bourgogne",79.5000
QUEEN,"Queso Cabrales",210.0000
QUEEN,"Valkoinen suklaa",406.2500
QUEEN,"Gnocchi di nonna Alice",2280.0000
LINOD,"Rogede sild",190.0000
LINOD,"Louisiana Fiery Hot Pepper Sauce",442.0500
LINOD,"Mozzarella di Giovanni",2088.0000
SANTG,"Carnarvon Tigers",500.0000
WANDK,Gudbrandsdalsost,720.0000
WANDK,"Outback Lager",225.0000
HILAA,Chang,950.0000
HILAA,"Boston Crab Meat",1104.0000
SIMOB,"Sir Rodney's Scones",300.0000
SIMOB,"Sirop d'rable",570.0000
ALFKI,"Rssle Sauerkraut",684.0000
ALFKI,"Chartreuse verte",378.0000
ALFKI,Spegesild,24.0000
WELLI,"Carnarvon Tigers",250.0000
WELLI,"Ipoh Coffee",920.0000
WELLI,Spegesild,252.0000
HANAR,"Carnarvon Tigers",1250.0000
HANAR,"Inlagd Sill",285.0000
HUNGO,Chai,270.0000
HUNGO,Ikura,558.0000
HUNGO,Flotemysost,645.0000
HUNGO,"Original Frankfurter grne Soe",455.0000
QUEDE,"Teatime Chocolate Biscuits",276.0000
QUEDE,"Chartreuse verte",360.0000
RICAR,"Gustaf's Knckebrd",315.0000
RICAR,"Guaran Fantstica",67.5000
MAISD,"Rssle Sauerkraut",912.0000
MAISD,"Mozzarella di Giovanni",522.0000
FAMIA,"Nord-Ost Matjeshering",776.7000
FAMIA,"Perth Pasties",820.0000
FAMIA,Tourtire,223.5000
WANDK,"Teatime Chocolate Biscuits",110.4000
WANDK,"Gustaf's Knckebrd",420.0000
GOURL,"Nord-Ost Matjeshering",51.7800
GOURL,"Singaporean Hokkien Fried Mee",280.0000
FRANK,Pavlova,523.5000
FRANK,"Camembert Pierrot",680.0000
BERGS,"Chef Anton's Cajun Seasoning",264.0000
BERGS,"Chartreuse verte",360.0000
BERGS,Tourtire,44.7000
REGGC,"Jack's New England Clam Chowder",193.0000
GREAL,Tofu,69.7500
GREAL,"Gula Malacca",544.6000
GREAL,"Zaanse koeken",57.0000
SAVEA,"Genen Shouyu",775.0000
SAVEA,"Jack's New England Clam Chowder",231.6000
SAVEA,Spegesild,540.0000
SAVEA,"Zaanse koeken",95.0000
SAVEA,"Gnocchi di nonna Alice",1710.0000
SAVEA,"Camembert Pierrot",1020.0000
QUICK,"Sir Rodney's Scones",600.0000
QUICK,"Boston Crab Meat",1288.0000
QUICK,"Camembert Pierrot",1870.0000
QUICK,"Original Frankfurter grne Soe",910.0000
QUEEN,"Gorgonzola Telino",250.0000
QUEEN,"Boston Crab Meat",441.6000
QUEEN,"Outback Lager",600.0000
HUNGC,"Sir Rodney's Marmalade",1701.0000
HUNGO,"Chartreuse verte",54.0000
HUNGO,"Escargots de Bourgogne",649.2500
LONEP,"Scottish Longbreads",125.0000
BONAP,"Boston Crab Meat",552.0000
BONAP,"Singaporean Hokkien Fried Mee",420.0000
BONAP,"Manjimup Dried Apples",1060.0000
FURIB,Ikura,744.0000
FURIB,"Gnocchi di nonna Alice",456.0000
FURIB,"Louisiana Fiery Hot Pepper Sauce",315.7500
LONEP,"Manjimup Dried Apples",1060.0000
LONEP,"Raclette Courdavault",55.0000
LONEP,Lakkalikri,180.0000
RICSU,"Thringer Rostbratwurst",4456.4400
RICSU,"Louisiana Fiery Hot Pepper Sauce",210.5000
ERNSH,Gudbrandsdalsost,1620.0000
ERNSH,Flotemysost,301.0000
WANDK,"Gorgonzola Telino",100.0000
WANDK,"Pt chinois",96.0000
WANDK,"Wimmers gute Semmelkndel",498.7500
SIMOB,"Inlagd Sill",570.0000
FRANK,Tunnbrd,288.0000
FRANK,Spegesild,720.0000
FRANK,"Laughing Lumberjack Lager",350.0000
FRANK,"Rd Kaviar",750.0000
FRANK,"Rhnbru Klosterbier",193.7500
FRANR,Pavlova,174.5000
FRANR,"Tarte au sucre",493.0000
FRANR,"Louisiana Fiery Hot Pepper Sauce",252.6000
BERGS,"Cte de Blaye",3952.5000
BERGS,Flotemysost,258.0000
WILMK,Pavlova,52.3500
WILMK,"Singaporean Hokkien Fried Mee",84.0000
WILMK,"Ipoh Coffee",276.0000
ISLAT,Tunnbrd,45.0000
FRANK,Tofu,697.5000
FRANK,"Perth Pasties",328.0000
FRANK,"Escargots de Bourgogne",397.5000
TORTU,Ikura,62.0000
TORTU,"Teatime Chocolate Biscuits",64.4000
TORTU,"Gula Malacca",408.4500
ANTON,"Gumbr Gummibrchen",936.9000
ANTON,Geitost,20.0000
SAVEA,"Queso Manchego La Pastora",3800.0000
SAVEA,Geitost,75.0000
SAVEA,"Jack's New England Clam Chowder",1158.0000
SAVEA,Tourtire,223.5000
BLONP,"Raclette Courdavault",660.0000
OLDWO,Pavlova,872.5000
OLDWO,"Gorgonzola Telino",250.0000
OLDWO,"Singaporean Hokkien Fried Mee",560.0000
GREAL,"Teatime Chocolate Biscuits",276.0000
GREAL,"Sir Rodney's Scones",120.0000
GREAL,"Wimmers gute Semmelkndel",931.0000
ANTON,Geitost,75.0000
ANTON,"Louisiana Hot Spiced Okra",68.0000
ANTON,"Rhnbru Klosterbier",232.5000
DUMON,"Filo Mix",63.0000
OTTIK,"Boston Crab Meat",368.0000
OTTIK,"Zaanse koeken",380.0000
OTTIK,"Camembert Pierrot",1020.0000
GOURL,Ikura,620.0000
GOURL,"Jack's New England Clam Chowder",38.6000
GOURL,"Zaanse koeken",142.5000
PICCO,"Alice Mutton",1170.0000
PICCO,"Gumbr Gummibrchen",468.4500
HUNGO,"Mishi Kobe Niku",4850.0000
HUNGO,"Thringer Rostbratwurst",1237.9000
HUNGO,"Inlagd Sill",114.0000
VAFFE,Ikura,558.0000
VAFFE,"Rssle Sauerkraut",2736.0000
VAFFE,"Sasquatch Ale",196.0000
BERGS,Chai,630.0000
HANAR,"Gnocchi di nonna Alice",760.0000
HANAR,"Original Frankfurter grne Soe",390.0000
QUICK,Chai,540.0000
QUICK,"Thringer Rostbratwurst",4951.6000
QUICK,"Ipoh Coffee",1840.0000
QUICK,"Gula Malacca",466.8000
QUICK,"Tarte au sucre",2366.4000
ALFKI,Vegie-spread,878.0000
WHITC,"Mishi Kobe Niku",582.0000
WHITC,Tourtire,447.0000
WHITC,Gudbrandsdalsost,1080.0000
WHITC,"Rd Kaviar",225.0000
QUICK,"Uncle Bob's Organic Dried Pears",2700.0000
QUICK,"Raclette Courdavault",1375.0000
QUICK,"Outback Lager",750.0000
WILMK,"Northwoods Cranberry Sauce",400.0000
WILMK,"Queso Manchego La Pastora",152.0000
WILMK,"Guaran Fantstica",90.0000
WHITC,"Alice Mutton",780.0000
WHITC,Spegesild,216.0000
LINOD,"Teatime Chocolate Biscuits",64.4000
LINOD,"Steeleye Stout",162.0000
LINOD,"Escargots de Bourgogne",397.5000
LINOD,"Outback Lager",450.0000
ERNSH,"Queso Cabrales",315.0000
ERNSH,"Alice Mutton",312.0000
ERNSH,"Thringer Rostbratwurst",1485.4800
ERNSH,"Louisiana Fiery Hot Pepper Sauce",1368.2500
ERNSH,"Outback Lager",120.0000
MORGK,"Zaanse koeken",114.0000
SAVEA,Chai,90.0000
SAVEA,"Sasquatch Ale",168.0000
SAVEA,"Scottish Longbreads",500.0000
SAVEA,Flotemysost,1290.0000
HUNGO,"Raclette Courdavault",2310.0000
HUNGO,Flotemysost,430.0000
HUNGO,Lakkalikri,630.0000
ALFKI,"Aniseed Syrup",60.0000
ALFKI,Lakkalikri,270.0000
FOLKO,Chang,95.0000
FOLKO,"Raclette Courdavault",1925.0000
FOLKO,"Rd Kaviar",525.0000
QUEEN,"Chef Anton's Cajun Seasoning",132.0000
QUEEN,"Guaran Fantstica",157.5000
QUEEN,Chocolade,306.0000
HILAA,"Gorgonzola Telino",250.0000
HILAA,"Mascarpone Fabioli",128.0000
OLDWO,Pavlova,349.0000
OLDWO,"Ipoh Coffee",1104.0000
OLDWO,"Raclette Courdavault",440.0000
AROUT,"Pt chinois",504.0000
AROUT,"Ravioli Angelo",780.0000
AROUT,"Outback Lager",420.0000
THEBI,"Chef Anton's Gumbo Mix",85.4000
THEBI,"Inlagd Sill",95.0000
GOURL,"Northwoods Cranberry Sauce",1600.0000
GOURL,"Manjimup Dried Apples",1484.0000
GOURL,"Camembert Pierrot",340.0000
FRANS,"Teatime Chocolate Biscuits",46.0000
FRANS,"Zaanse koeken",47.5000
SAVEA,"Teatime Chocolate Biscuits",110.4000
SAVEA,"Jack's New England Clam Chowder",405.3000
SAVEA,"Perth Pasties",3936.0000
HUNGO,"Perth Pasties",98.4000
HUNGO,"Gnocchi di nonna Alice",1140.0000
SAVEA,Ikura,558.0000
SAVEA,"Gumbr Gummibrchen",936.9000
SAVEA,"Rogede sild",1045.0000
SAVEA,Spegesild,288.0000
SAVEA,Chang,570.0000
SAVEA,"Alice Mutton",1053.0000
SAVEA,"Zaanse koeken",475.0000
SAVEA,"Gnocchi di nonna Alice",684.0000
SAVEA,"Escargots de Bourgogne",159.0000
BONAP,Ikura,651.0000
BONAP,Flotemysost,645.0000
RANCH,"Sir Rodney's Scones",50.0000
RANCH,"Manjimup Dried Apples",371.0000
RANCH,"Sirop d'rable",285.0000
FRANK,"Sir Rodney's Scones",320.0000
FRANK,Tourtire,111.7500
FRANK,Gudbrandsdalsost,900.0000
KOENE,"Queso Manchego La Pastora",1368.0000
KOENE,Pavlova,349.0000
KOENE,"Inlagd Sill",760.0000
KOENE,"Tarte au sucre",986.0000
LETSS,"Carnarvon Tigers",750.0000
LETSS,"Nord-Ost Matjeshering",77.6700
LETSS,Tourtire,298.0000
QUEDE,"Steeleye Stout",378.0000
QUEDE,Flotemysost,172.0000
QUICK,"Gula Malacca",972.5000
SAVEA,Chang,57.0000
SAVEA,"Gorgonzola Telino",625.0000
SAVEA,"Scottish Longbreads",562.5000
SAVEA,"Rhnbru Klosterbier",325.5000
WHITC,"Gumbr Gummibrchen",468.4500
MEREP,Ikura,496.0000
MEREP,"Sirop d'rable",142.5000
FAMIA,"Jack's New England Clam Chowder",115.8000
FAMIA,"Filo Mix",28.0000
FAMIA,"Pt chinois",144.0000
EASTC,"Chef Anton's Cajun Seasoning",550.0000
EASTC,"Queso Cabrales",105.0000
REGGC,"Alice Mutton",780.0000
REGGC,"Gnocchi di nonna Alice",380.0000
REGGC,"Raclette Courdavault",550.0000
QUEEN,"Nord-Ost Matjeshering",388.3500
QUEEN,"Boston Crab Meat",110.4000
QUEEN,"Pt chinois",288.0000
QUEEN,"Camembert Pierrot",510.0000
LINOD,Chai,900.0000
LINOD,"Sir Rodney's Scones",300.0000
LINOD,"Valkoinen suklaa",650.0000
BONAP,Pavlova,261.7500
BONAP,"Gorgonzola Telino",37.5000
BONAP,"Louisiana Fiery Hot Pepper Sauce",210.5000
CHOPS,"Sir Rodney's Scones",400.0000
CHOPS,"Manjimup Dried Apples",1590.0000
BONAP,Lakkalikri,360.0000
BERGS,Tofu,372.0000
BERGS,"Rssle Sauerkraut",912.0000
BERGS,"Filo Mix",175.0000
GOURL,"Grandma's Boysenberry Spread",750.0000
GOURL,"Nord-Ost Matjeshering",388.3500
GOURL,Lakkalikri,360.0000
LETSS,"Sirop d'rable",570.0000
LETSS,"Original Frankfurter grne Soe",26.0000
HUNGO,"Louisiana Fiery Hot Pepper Sauce",842.0000
HUNGO,"Rhnbru Klosterbier",155.0000
VINET,Konbu,24.0000
VINET,"Jack's New England Clam Chowder",115.8000
SPECD,Pavlova,52.3500
VINET,"Inlagd Sill",114.0000
VINET,"Filo Mix",126.0000
WHITC,"Rssle Sauerkraut",228.0000
WHITC,"Steeleye Stout",630.0000
WHITC,"Rogede sild",380.0000
WHITC,"Gnocchi di nonna Alice",532.0000
AROUT,Chang,285.0000
BOTTM,"Aniseed Syrup",200.0000
BOTTM,"Camembert Pierrot",1700.0000
BOTTM,"Mozzarella di Giovanni",1218.0000
AROUT,Spegesild,336.0000
VAFFE,"Boston Crab Meat",920.0000
QUICK,"Carnarvon Tigers",1500.0000
QUICK,"Gula Malacca",311.2000
QUICK,"Raclette Courdavault",2475.0000
QUICK,"Mozzarella di Giovanni",243.6000
CHOPS,Konbu,36.0000
CHOPS,"Singaporean Hokkien Fried Mee",392.0000
CHOPS,"Tarte au sucre",443.7000
CHOPS,Gudbrandsdalsost,1440.0000
PICCO,"Gorgonzola Telino",100.0000
PICCO,"Jack's New England Clam Chowder",337.7500
PICCO,Vegie-spread,395.1000
PICCO,Gudbrandsdalsost,1080.0000
SAVEA,Tunnbrd,396.0000
SAVEA,"Boston Crab Meat",736.0000
SAVEA,"Gnocchi di nonna Alice",1064.0000
ISLAT,"Gnocchi di nonna Alice",570.0000
ISLAT,"Raclette Courdavault",330.0000
ISLAT,Lakkalikri,180.0000
WARTH,Tofu,116.2500
WARTH,"Rogede sild",380.0000
WARTH,"Raclette Courdavault",1375.0000
RICSU,"Gumbr Gummibrchen",374.7600
RICSU,"Nord-Ost Matjeshering",776.7000
RICSU,"Valkoinen suklaa",325.0000
RICSU,"Rd Kaviar",225.0000
NORTS,Chai,144.0000
NORTS,Gudbrandsdalsost,108.0000
FRANS,"Rogede sild",38.0000
FRANS,"Longlife Tofu",50.0000
MAGAA,"Boston Crab Meat",55.2000
BONAP,"Zaanse koeken",285.0000
BONAP,"Gnocchi di nonna Alice",1140.0000
BONAP,"Ravioli Angelo",273.0000
BONAP,Gudbrandsdalsost,900.0000
SPLIR,"Carnarvon Tigers",1312.5000
SPLIR,"Inlagd Sill",380.0000
SPLIR,"Scottish Longbreads",75.0000
SPLIR,Gudbrandsdalsost,720.0000
SAVEA,"Sasquatch Ale",420.0000
SAVEA,"Raclette Courdavault",385.0000
SAVEA,"Tarte au sucre",1479.0000
SAVEA,"Wimmers gute Semmelkndel",798.0000
RICSU,"Gumbr Gummibrchen",624.6000
RICSU,"Filo Mix",420.0000
RICSU,"Outback Lager",600.0000
ANATR,"Mascarpone Fabioli",320.0000
MAISD,"NuNuCa Nu-Nougat-Creme",168.0000
MAISD,"Schoggi Schokolade",1756.0000
MAISD,"Ipoh Coffee",1380.0000
RATTC,"NuNuCa Nu-Nougat-Creme",490.0000
RATTC,"Rhnbru Klosterbier",139.5000
FOLKO,"Chartreuse verte",288.0000
FOLKO,"Zaanse koeken",285.0000
FOLKO,"Manjimup Dried Apples",1484.0000
FOLKO,"Gnocchi di nonna Alice",2280.0000
FOLIG,"Sir Rodney's Scones",400.0000
FOLIG,"Gustaf's Knckebrd",126.0000
FOLIG,"Guaran Fantstica",90.0000
ERNSH,"Aniseed Syrup",200.0000
ERNSH,"Chartreuse verte",2340.0000
QUICK,"Louisiana Fiery Hot Pepper Sauce",1684.0000
OTTIK,Chang,760.0000
OTTIK,"Uncle Bob's Organic Dried Pears",1050.0000
OTTIK,"Scottish Longbreads",500.0000
SUPRD,"Singaporean Hokkien Fried Mee",28.0000
AROUT,"Gustaf's Knckebrd",84.0000
AROUT,"Gorgonzola Telino",625.0000
AROUT,"Camembert Pierrot",510.0000
AROUT,Flotemysost,258.0000
VAFFE,"Jack's New England Clam Chowder",289.5000
VAFFE,"Filo Mix",105.0000
VAFFE,"Sirop d'rable",570.0000
VAFFE,"Tarte au sucre",739.5000
HANAR,"Queso Cabrales",315.0000
LEHMS,"Thringer Rostbratwurst",2228.2200
LEHMS,"Raclette Courdavault",1375.0000
ERNSH,"Alice Mutton",1287.0000
ERNSH,"Gorgonzola Telino",875.0000
ERNSH,"Rhnbru Klosterbier",54.2500
FOLKO,"Gorgonzola Telino",25.0000
FOLKO,"Louisiana Hot Spiced Okra",850.0000
THECR,Ikura,186.0000
THECR,"Laughing Lumberjack Lager",42.0000
ERNSH,"Gorgonzola Telino",200.0000
ERNSH,"Singaporean Hokkien Fried Mee",168.0000
ERNSH,"Rogede sild",256.5000
ERNSH,"Manjimup Dried Apples",6360.0000
BERGS,"Jack's New England Clam Chowder",96.5000
LILAS,"Outback Lager",525.0000
LILAS,"Original Frankfurter grne Soe",195.0000
WARTH,Tourtire,22.3500
WARTH,"Gnocchi di nonna Alice",760.0000
WARTH,"Longlife Tofu",350.0000
CACTU,"Gorgonzola Telino",12.5000
HANAR,"Gorgonzola Telino",125.0000
HANAR,"Cte de Blaye",1317.5000
MAGAA,"Inlagd Sill",570.0000
MAGAA,"Chartreuse verte",36.0000
MAGAA,"Mozzarella di Giovanni",1044.0000
GROSR,Ikura,310.0000
GROSR,"Rhnbru Klosterbier",77.5000
QUEEN,"Northwoods Cranberry Sauce",1200.0000
QUEEN,"Nord-Ost Matjeshering",388.3500
QUEEN,"Rhnbru Klosterbier",325.5000
LAMAI,Chang,285.0000
LAMAI,"Thringer Rostbratwurst",2475.8000
FOLIG,"Carnarvon Tigers",1875.0000
FOLIG,"Steeleye Stout",270.0000
FOLIG,Vegie-spread,1317.0000
FOLIG,"Scottish Longbreads",225.0000
GOURL,"Uncle Bob's Organic Dried Pears",90.0000
GOURL,"Gnocchi di nonna Alice",760.0000
WOLZA,Chang,190.0000
WOLZA,Tourtire,22.3500
WOLZA,"Scottish Longbreads",187.5000
BOLID,"Alice Mutton",1560.0000
BOLID,"Thringer Rostbratwurst",2475.8000

------------------------------------------------------------------------------------------------

5. Category Sales for 1997
SELECT * FROM `northwind`.`category sales for 1997`;

CategoryName,CategorySales
"Dairy Products",122970.20000000
Beverages,108545.00000000
Meat/Poultry,87648.12000000
Confections,85682.19000000
Seafood,69780.30000000
Condiments,59588.00000000
Grains/Cereals,59275.20000000
Produce,55549.80000000

------------------------------------------------------------------------------------------------

