Transaction_Order,CustomerID,Card_Number,Amount_Paid
10946,VAFFE,6174922585ZV4QY,1408
10947,BSBEV,348259866GJZ1Y,220
10948,GODOS,3355074925BG2OU,2362
10949,BOTTM,163431679EVYST,4422
10950,MAGAA,9843428315N5L6V,110
10951,RICSU,731412659EW0Z,483
10952,ALFKI,217472186648IMA,491
10953,AROUT,854114886NSMH9,4675
10954,LINOD,3355923121ZTWQN,1902
10955,FOLKO,9231689192E42OZ,93
10956,BLAUS,24524409392DDHY,677
10957,HILAA,5590413152UL6QV,1763
10958,OCEAN,8318542834HFB21,781
10959,GOURL,736978533Y7VGE,155
10960,HILAA,5590413152UL6QV,277
10961,QUEEN,6789193403VT3T,1122
10962,QUICK,342827761A97VG,3584
10963,FURIB,6374279616DFPZG,68
10964,SPECD,919914937IWN94,2053
10965,OLDWO,63873612465X,848
10966,CHOPS,2108732262A94IW,1256
10967,TOMSP,6146778D8QNU,910
10968,ERNSH,3946584871QKE0K,1408
10969,COMMI,43914853C33ZC,108
10970,BOLID,29207287114K86W,280
10971,FRANR,8337373735XAEVV,1733
10972,LACOR,8469598471MIBRJ,252
10973,LACOR,8469598471MIBRJ,292
10974,SPLIR,18846151W9DRE,439
10975,BOTTM,163431679EVYST,718
10976,HILAA,5590413152UL6QV,912
10977,FOLKO,9231689192E42OZ,2233
10978,MAISD,256774955IYWCT,1501
10979,ERNSH,3946584871QKE0K,4814
10980,FOLKO,9231689192E42OZ,310
10981,HANAR,4466698335DENQE,15810
10982,BOTTM,163431679EVYST,1014
10983,SAVEA,9709565713OZN1V,797
10984,SAVEA,9709565713OZN1V,1810
10985,HUNGO,8227767886WBO20,2248
10986,OCEAN,8318542834HFB21,2220
10987,EASTC,148795852672GR3,2772
10988,RATTC,921906021SBXG6,3772
10989,QUEDE,17461681329F2TK,1354
10990,ERNSH,3946584871QKE0K,4931
10991,QUICK,342827761A97VG,2870
10992,THEBI,773384441J3NKP,70
10993,FOLKO,9231689192E42OZ,6527
10994,VAFFE,6174922585ZV4QY,990
10995,PERIC,428316839982B4,1196
10996,QUICK,342827761A97VG,560
10997,LILAS,3830297Y4HR3,1980
10998,WOLZA,68180768ZIBQH,686
10999,OTTIK,3579579465RDDGW,1261
11000,RATTC,921906021SBXG6,1075
11001,FOLKO,9231689192E42OZ,2769
11002,SAVEA,9709565713OZN1V,1902
11003,THECR,9610749262DJ9F2,326
11004,MAISD,256774955IYWCT,295
11005,WILMK,93979117VN7V,586
11006,GREAL,94460340NBCH4,392
11007,PRINI,9189054712W4NNX,2634
11008,ERNSH,3946584871QKE0K,4904
11009,GODOS,3355074925BG2OU,702
11010,REGGC,30133447176CYEU,645
11011,ALFKI,217472186648IMA,960
11012,FRANK,983237721S0FR,2974
11013,ROMEY,21060337760900,361
11014,LINOD,3355923121ZTWQN,270
11015,SANTG,662984601P7K00,622
11016,AROUT,854114886NSMH9,492
11017,ERNSH,3946584871QKE0K,6750
11018,LONEP,27772236W4ONX,1575
11019,RANCH,682813242P31NT,76
11020,OTTIK,3579579465RDDGW,744
11021,QUICK,342827761A97VG,6941
11022,HANAR,4466698335DENQE,1402
11023,BSBEV,348259866GJZ1Y,1500
11024,EASTC,148795852672GR3,1967
11025,WARTH,2420495851MN4C0,300
11026,FRANS,0126754474Y28PG,1030
11027,BOTTM,163431679EVYST,1170
11028,KOENE,9155733615G3SF,2160
11029,CHOPS,2108732262A94IW,1287
11030,SAVEA,9709565713OZN1V,16322
11031,SAVEA,9709565713OZN1V,2394
11032,WHITC,845398129PFPYE,8903
11033,RICSU,731412659EW0Z,3592
11034,OLDWO,63873612465X,554
11035,SUPRD,8712985905VJJR,1755
11036,DRACD,356585551O49M1,1692
11037,GODOS,3355074925BG2OU,60
11038,SUPRD,8712985905VJJR,751
11039,LINOD,3355923121ZTWQN,3090
11040,GREAL,94460340NBCH4,200
11041,CHOPS,2108732262A94IW,1887
11042,COMMI,43914853C33ZC,406
11043,SPECD,919914937IWN94,210
11044,WOLZA,68180768ZIBQH,592
11045,BOTTM,163431679EVYST,1310
11046,WANDK,548523298BTS6,1564
11047,EASTC,148795852672GR3,1091
11048,BOTTM,163431679EVYST,525
11049,GOURL,736978533Y7VGE,342
11050,FOLKO,9231689192E42OZ,900
11051,LAMAI,482774093X4J19,45
11052,HANAR,4466698335DENQE,1665
11053,PICCO,45573218912C25,3659
11054,CACTU,9061659187F7D1R,305
11055,HILAA,5590413152UL6QV,1728
11056,EASTC,148795852672GR3,3740
11057,NORTS,622447489WU774,45
11058,BLAUS,24524409392DDHY,858
11059,RICAR,786959053G0EOT,1838
11060,FRANS,0126754474Y28PG,266
11061,GREAL,94460340NBCH4,510
11062,REGGC,30133447176CYEU,508
11063,HUNGO,8227767886WBO20,1446
11064,SAVEA,9709565713OZN1V,4722
11065,LILAS,3830297Y4HR3,253
11066,WHITC,845398129PFPYE,929
11067,DRACD,356585551O49M1,87
11068,QUEEN,6789193403VT3T,2385
11069,TORTU,8519239451VXQNN,360
11070,LEHMS,361698175KKT3R,1874
11071,LILAS,3830297Y4HR3,510
11072,ERNSH,3946584871QKE0K,5218
11073,PERIC,428316839982B4,300
11074,SIMOB,24335781929CMTW,244
11075,RICSU,731412659EW0Z,586
11076,BONAP,30156146Q58IH,1057
11077,RATTC,921906021SBXG6,1375
